frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
1,1,1,0,full,0.448601,0.448601,0,0.448601,0.35,0,0,1,1,0,0,99.1131,1,1,1,1036.002,431.2357,1036.002,431.2357,97.8895,BOX:4:4:3:3,BOX:4:4:3:3,1,1,1.0,1
2,3,2,0,full,0.265965,0.265965,0,0.265965,0.35,0,0,1,1,0,0,98.2063,1,1,1,1028.0676,431.9007,1032.2299,431.5518,98.0611,BOX:4:4:3:3,BOX:4:4:3:3,1,1,1.0,1
3,4,3,0,full,0.268074,0.268074,0,0.268074,0.35,0,0,1,1,0,0,97.7179,1,1,1,1028.0176,431.8962,1030.7961,431.6691,97.9139,BOX:4:4:3:3,BOX:4:4:3:3,1,1,0.0,0
4,6,4,0,full,0.305637,0.305637,0,0.305637,0.35,0,0,1,1,0,0,96.6724,1,1,1,1027.7904,422.7281,1029.9216,429.2685,97.3418,BOX:4:4:3:3,BOX:4:4:3:3,1,1,0.0,0
5,7,5,0,full,0.592449,0.592449,0,0.592449,0.35,0,0,1,1,0,0,95.8101,1,1,1,1025.2192,409.1426,1028.6974,424.369,96.5639,BOX:4:4:3:3,BOX:4:4:3:3,1,1,0.0,0
6,9,6,0,full,0.494482,0.494482,0,0.494482,0.35,0,0,1,1,0,0,95.3292,1,1,1,1019.6423,403.4275,1026.4876,419.2552,95.8484,BOX:4:4:3:3,BOX:4:4:3:3,1,1,0.0,0
7,10,7,0,full,0.49509,0.49509,0,0.49509,0.35,0,0,1,1,0,0,95.082,1,1,1,1019.5859,403.4177,1024.6386,415.0031,95.2965,BOX:4:4:3:3,BOX:4:4:3:3,1,1,1.0,1
8,12,8,0,full,0.346446,0.346446,0,0.329186,0.35,0,0,1,1,0,0,93.8809,2,2,1,1011.8505,412.2052,1022.2868,408.5904,94.4705,BOX:4:4:3:3,BOX:4:4:3:3,1,1,1.0,1
9,13,9,0,prediction_only,0.739095,0.739095,0,0.739095,0.35,0,1,1,1,0,0,93.2504,2,3,1,1010.259,394.0628,1019.0344,403.8879,93.6969,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
10,15,10,0,prediction_only,0.697601,0.697601,0,0.697601,0.35,0,2,1,1,0,0,92.4388,2,4,1,1009.7776,388.6211,1016.1645,398.7738,92.8948,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
11,17,11,0,prediction_only,0.434263,0.434263,0,0.434263,0.35,0,3,1,1,0,0,91.3888,2,4,1,1001.7502,384.1431,1012.0235,393.5586,91.9926,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
12,18,12,0,prediction_only,0.628293,0.628293,0,0.628293,0.35,0,4,1,1,0,0,90.7096,2,4,1,999.3455,388.6889,1008.1295,388.2356,91.1518,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
13,20,13,0,prediction_only,0.647826,0.647826,0,0.647826,0.35,0,5,1,1,0,0,90.1372,3,5,1,997.886,379.8251,1002.1152,395.391,90.6587,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
14,21,14,0,prediction_only,0.440391,0.440391,0,0.440391,0.35,0,6,1,1,0,0,89.1631,2,5,1,991.2834,377.5286,998.685,389.6141,89.7913,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
15,23,15,0,prediction_only,0.53843,0.53843,0,0.381706,0.35,0,7,1,1,0,0,88.4583,3,6,1,984.9758,384.1821,994.9779,387.3675,88.958,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
16,24,16,0,prediction_only,0.419173,0.419173,0,0.419173,0.35,0,8,1,1,0,0,87.9977,2,6,1,977.8459,385.9053,990.3838,385.9766,88.249,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
17,26,17,0,prediction_only,0.7393,0.7393,0,0.7393,0.35,0,9,1,1,0,0,86.9459,2,7,1,972.7199,380.263,985.4439,383.6474,87.4054,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
18,28,18,0,prediction_only,0.568423,0.568423,0,0.568423,0.35,0,10,1,1,0,0,85.683,2,7,1,964.4931,367.3799,980.6025,367.1734,86.2985,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
19,29,19,0,prediction_only,0.641813,0.641813,0,0.641813,0.35,0,11,1,1,0,0,84.7514,3,7,1,957.602,365.1898,973.4665,364.1475,85.3489,BOX:4:4:2:2,BOX:4:4:2:2,1,1,1.0,1
20,31,20,0,prediction_only,0.659639,0.659639,0,0.659639,0.35,0,12,1,1,0,0,84.5622,3,7,1,957.3337,365.1157,967.6403,361.6934,84.6047,BOX:4:4:2:2,BOX:4:4:2:2,1,1,0.0,0
21,32,21,0,prediction_only,0.716044,0.716044,0,0.716044,0.35,0,13,1,1,0,0,83.7556,1,7,1,944.9707,374.0698,964.1093,358.4773,83.8427,BOX:4:4:2:2,BOX:4:4:2:2,1,1,0.0,0
22,34,22,0,prediction_only,0.685132,0.685132,0,0.685132,0.35,0,14,1,1,0,0,82.517,1,7,1,942.7174,372.9985,960.5782,355.2612,82.9488,BOX:4:4:2:2,BOX:4:4:2:2,1,1,0.0,0
23,35,23,0,prediction_only,0.783396,0.783396,0,0.783396,0.35,0,15,1,1,0,0,81.7986,2,7,1,932.192,371.5061,947.0121,373.8962,82.1124,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
24,37,24,0,prediction_only,0.793228,0.793228,0,0.793228,0.35,0,16,1,1,0,0,81.5719,1,7,1,922.1296,369.8402,938.9246,371.8177,81.4322,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
25,38,25,0,prediction_only,0.512229,0.512229,0,0.304573,0.35,0,17,1,1,0,0,80.4937,2,8,1,947.8405,350.6359,947.8405,350.6359,79.4999,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
26,40,26,0,prediction_only,0.740232,0.740232,0,0.740232,0.35,0,18,1,1,0,0,79.6623,1,8,1,902.155,369.8689,921.2947,369.2579,79.832,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
27,42,27,0,prediction_only,0.688346,0.688346,0,0.688346,0.35,0,19,1,1,0,0,78.8368,2,8,1,888.2893,367.0789,911.1937,367.567,79.0177,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
28,43,28,0,prediction_only,0.644176,0.644176,0,0.644176,0.35,0,20,1,1,0,0,78.1767,2,8,1,877.1061,384.6118,900.7279,369.2383,78.2438,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
29,45,29,0,prediction_only,0.660394,0.660394,0,0.660394,0.35,0,21,1,1,0,0,77.2678,2,7,1,877.2808,385.082,891.9105,370.8105,77.4319,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
30,46,30,0,prediction_only,0.712235,0.712235,0,0.712235,0.35,0,22,1,1,0,0,76.8672,3,7,1,853.8887,366.1942,880.5947,369.0896,76.7296,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
31,48,31,0,prediction_only,0.664559,0.664559,0,0.664559,0.35,0,23,1,1,0,0,75.9103,3,7,1,835.5732,366.6513,868.0061,367.7022,75.9605,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
32,49,32,0,prediction_only,0.655378,0.655378,0,0.439502,0.35,0,24,1,1,0,0,75.453,3,7,1,838.5219,341.3578,857.2308,366.4552,75.274,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
33,51,33,0,prediction_only,0.725681,0.725681,0,0.615741,0.35,0,25,1,1,0,0,74.4249,5,8,1,811.4066,388.1315,844.3093,368.7276,74.4992,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
34,52,34,0,prediction_only,0.735314,0.735314,0,0.680557,0.35,0,26,1,1,0,0,73.6615,4,8,1,826.554,337.6302,830.6478,367.4671,73.7265,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
35,54,35,0,prediction_only,0.714992,0.714992,0,0.541652,0.35,0,27,1,1,0,0,72.9992,4,7,1,769.5846,329.8975,814.7774,369.8144,72.9819,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
36,56,36,0,prediction_only,0.730887,0.730887,0,0.730887,0.35,0,28,1,1,0,0,72.0725,4,7,1,743.678,331.5779,824.4961,332.573,72.1835,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
37,57,37,0,prediction_only,0.738528,0.738528,0,0.700106,0.35,0,29,1,1,0,0,71.441,4,6,1,726.5097,376.6454,777.614,372.9854,71.4387,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
38,59,38,0,prediction_only,0.713634,0.713634,0,0.713634,0.35,0,30,1,1,0,0,71.0939,4,6,1,681.2346,401.7698,756.7297,376.3268,70.7913,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
39,60,39,0,prediction_only,0.732909,0.732909,0,0.715899,0.35,0,31,1,1,0,0,69.7094,3,6,1,694.5182,324.2661,738.7451,379.5891,69.958,BOX:3:3:2:2,BOX:3:3:2:2,1,1,0.0,0
